          c         |          f(c)
  4.100000000000000 | -1.538501069721993 
  4.650000000000000 |  0.708133845836368 
  4.375000000000000 | -0.504609589430420 
  4.512500000000000 |  0.084084268152838 
  4.443750000000000 | -0.215324779271562 
  4.478125000000000 | -0.066808862011672 
  4.495312500000001 |  0.008350473393540 
  4.486718750000001 | -0.029302255399742 
  4.491015625000001 | -0.010494000399200 
  4.493164062500001 | -0.001076271294200 
  4.494238281250000 |  0.003635976551088 
  4.493701171875001 |  0.001279571197440 
  4.493432617187501 |  0.000101579555593 
  4.493298339843751 | -0.000487363473096 
  4.493365478515626 | -0.000192896359101 
  4.493399047851564 | -0.000045659501767 
  4.493415832519533 |  0.000027959751921 
  4.493407440185548 | -0.000008849943674 
  4.493411636352540 |  0.000009554886936 
  4.493409538269044 |  0.000000352467334 
  4.493408489227296 | -0.000004248739246 
  4.493409013748170 | -0.000001948136222 
  4.493409276008608 | -0.000000797834509 
  4.493409407138826 | -0.000000222683606 
  4.493409472703934 |  0.000000064891858 
  4.493409439921380 | -0.000000078895875 
  4.493409456312657 | -0.000000007002011 
  4.493409464508296 |  0.000000028944923 
  4.493409460410476 |  0.000000010971454 
  4.493409458361566 |  0.000000001984722 
  4.493409457337112 | -0.000000002508643 
  4.493409457849339 | -0.000000000261962 
  4.493409458105452 |  0.000000000861378 
  4.493409457977395 |  0.000000000299708 
  4.493409457913367 |  0.000000000018875 
  4.493409457881353 | -0.000000000121544 
  4.493409457897361 | -0.000000000051333 
  4.493409457905364 | -0.000000000016229 
  4.493409457909365 |  0.000000000001321 
  4.493409457907365 | -0.000000000007452 
  4.493409457908365 | -0.000000000003066 
  4.493409457908865 | -0.000000000000872 
